group,name,turn,n,psr,ci_low,ci_high
G1,Baseline,1,50,0.62,0.4815019502239357,0.7413740415742278
G1,Baseline,2,50,0.82,0.6920368054529739,0.902299172675462
G1,Baseline,3,50,0.86,0.738135428014719,0.9304925473797714
G1,Baseline,4,50,0.88,0.7619492111337642,0.9438247628937535
G1,Baseline,5,50,0.9,0.7863950966521162,0.956524876008429
G1,Baseline,6,50,0.94,0.8378265662912299,0.9793854036353695
G1,Baseline,7,50,0.96,0.8653966212204534,0.9889613473391734
G1,Baseline,8,50,0.96,0.8653966212204534,0.9889613473391734
G2,Single,1,50,0.64,0.5014076201030195,0.7586143703281711
G2,Single,2,50,0.74,0.6044657801100008,0.8412862034863262
G2,Single,3,50,0.88,0.7619492111337642,0.9438247628937535
G2,Single,4,50,0.88,0.7619492111337642,0.9438247628937535
G2,Single,5,50,0.88,0.7619492111337642,0.9438247628937535
G2,Single,6,50,0.92,0.8116149745493629,0.9684509967442093
G2,Single,7,50,0.92,0.8116149745493629,0.9684509967442093
G2,Single,8,50,0.94,0.8378265662912299,0.9793854036353695
G3,Exploration,1,50,0.56,0.4230578680014353,0.6883801278976466
G3,Exploration,2,50,0.7,0.562493877226366,0.8089661091039063
G3,Exploration,3,50,0.82,0.6920368054529739,0.902299172675462
G3,Exploration,4,50,0.8,0.6696262789551477,0.8875637005402612
G3,Exploration,5,50,0.88,0.7619492111337642,0.9438247628937535
G3,Exploration,6,50,0.94,0.8378265662912299,0.9793854036353695
G3,Exploration,7,50,0.9,0.7863950966521162,0.956524876008429
G3,Exploration,8,50,0.92,0.8116149745493629,0.9684509967442093
G4,Creative,1,50,0.66,0.5215356854148285,0.7756323036493895
G4,Creative,2,50,0.76,0.6258705062480763,0.8570274759812779
G4,Creative,3,50,0.76,0.6258705062480763,0.8570274759812779
G4,Creative,4,50,0.82,0.6920368054529739,0.902299172675462
G4,Creative,5,50,0.94,0.8378265662912299,0.9793854036353695
G4,Creative,6,50,0.9,0.7863950966521162,0.956524876008429
G4,Creative,7,50,0.88,0.7619492111337642,0.9438247628937535
G4,Creative,8,50,0.9,0.7863950966521162,0.956524876008429
G5,Hybrid,1,50,0.68,0.5418944286372394,0.792419559060006
G5,Hybrid,2,50,0.76,0.6258705062480763,0.8570274759812779
G5,Hybrid,3,50,0.82,0.6920368054529739,0.902299172675462
G5,Hybrid,4,50,0.84,0.7148551903823401,0.9166267863791231
G5,Hybrid,5,50,0.9,0.7863950966521162,0.956524876008429
G5,Hybrid,6,50,0.84,0.7148551903823401,0.9166267863791231
G5,Hybrid,7,50,0.9,0.7863950966521162,0.956524876008429
G5,Hybrid,8,50,0.9,0.7863950966521162,0.956524876008429
