id,subject,relation,PSR,RA,LocAcc,max_turns
1,Albert Einstein,birth_year,0,0,1.0,8
2,Paris,country,0,0,1.0,8
3,Tokyo,country,1,0,1.0,8
4,Samsung,origin_country,1,0,1.0,8
5,Fall of the Berlin Wall,year,0,0,1.0,8
6,Ada Lovelace,birth_year,1,0,1.0,8
7,Toyota,origin_country,0,0,1.0,8
8,Apollo 11 Moon landing,year,0,0,1.0,8
9,Ottawa,country,1,0,1.0,8
10,world wide web,inventor,0,0,1.0,8
11,Signing of the Declaration of Independence (US),year,0,0,1.0,8
12,IKEA,origin_country,1,0,1.0,8
13,penicillin,discoverer,0,0,1.0,8
14,Nelson Mandela,birth_year,1,0,1.0,8
15,telephone,inventor,0,0,1.0,8
