id,subject,relation,PSR,RA,LocAcc,max_turns
1,IKEA,origin_country,1,0,1.0,8
2,Albert Einstein,birth_year,0,0,1.0,8
3,Louis Vuitton,origin_country,1,0,1.0,8
4,telephone,inventor,1,0,1.0,8
5,Ottawa,country,1,0,1.0,8
6,Apollo 11 Moon landing,year,0,0,1.0,8
7,Charles Darwin,birth_year,1,0,1.0,8
8,Start of World War I,year,0,0,1.0,8
9,Ada Lovelace,birth_year,1,0,1.0,8
10,Tokyo,country,1,0,1.0,8
11,Martin Luther King Jr.,birth_year,1,0,1.0,8
12,world wide web,inventor,0,0,1.0,8
13,Paris,country,0,0,1.0,8
14,Samsung,origin_country,1,0,1.0,8
15,Fall of the Berlin Wall,year,1,0,1.0,8
16,Toyota,origin_country,0,0,1.0,8
17,printing press,inventor,0,0,1.0,8
18,Nike,origin_country,1,0,1.0,8
19,Canberra,country,1,0,1.0,8
20,Signing of the Declaration of Independence (US),year,1,0,1.0,8
21,Cairo,country,1,0,1.0,8
22,Nelson Mandela,birth_year,1,0,1.0,8
23,penicillin,discoverer,0,0,1.0,8
24,radio,inventor,1,0,1.0,8
25,First human in space (Yuri Gagarin),year,0,0,1.0,8
