id,subject,relation,PSR,RA,LocAcc,max_turns
1,Ottawa,country,0,0,1.0,1
2,Samsung,origin_country,0,0,1.0,1
3,Toyota,origin_country,0,0,1.0,1
4,Signing of the Declaration of Independence (US),year,0,0,1.0,1
5,Paris,country,0,0,1.0,1
6,First human in space (Yuri Gagarin),year,0,0,1.0,1
7,Apollo 11 Moon landing,year,0,0,1.0,1
8,telephone,inventor,0,0,1.0,1
9,Ada Lovelace,birth_year,1,0,1.0,1
10,Canberra,country,0,0,1.0,1
11,IKEA,origin_country,1,0,1.0,1
12,Cairo,country,0,0,1.0,1
13,world wide web,inventor,0,0,1.0,1
14,Charles Darwin,birth_year,0,0,1.0,1
15,radio,inventor,0,0,1.0,1
16,Nike,origin_country,0,0,1.0,1
17,Fall of the Berlin Wall,year,0,0,1.0,1
18,Louis Vuitton,origin_country,0,0,1.0,1
19,Start of World War I,year,0,0,1.0,1
20,penicillin,discoverer,0,0,1.0,1
21,printing press,inventor,0,0,1.0,1
22,Tokyo,country,0,0,1.0,1
23,Nelson Mandela,birth_year,1,0,1.0,1
24,Albert Einstein,birth_year,0,0,1.0,1
25,Martin Luther King Jr.,birth_year,0,0,1.0,1
