id,subject,relation,PSR,RA,LocAcc,max_turns
1,Ottawa,country,1,0,1.0,8
2,Samsung,origin_country,0,0,1.0,8
3,Toyota,origin_country,0,0,1.0,8
4,Signing of the Declaration of Independence (US),year,0,0,1.0,8
5,Paris,country,1,0,1.0,8
6,First human in space (Yuri Gagarin),year,0,0,1.0,8
7,Apollo 11 Moon landing,year,0,0,1.0,8
8,telephone,inventor,1,0,1.0,8
9,Ada Lovelace,birth_year,1,0,1.0,8
10,Canberra,country,1,0,1.0,8
11,IKEA,origin_country,0,0,1.0,8
12,Cairo,country,1,0,1.0,8
13,world wide web,inventor,0,0,1.0,8
14,Charles Darwin,birth_year,0,0,1.0,8
15,radio,inventor,1,0,1.0,8
16,Nike,origin_country,1,0,1.0,8
17,Fall of the Berlin Wall,year,0,0,1.0,8
18,Louis Vuitton,origin_country,0,0,1.0,8
19,Start of World War I,year,0,0,1.0,8
20,penicillin,discoverer,1,0,1.0,8
21,printing press,inventor,1,0,1.0,8
22,Tokyo,country,0,0,1.0,8
23,Nelson Mandela,birth_year,1,0,1.0,8
24,Albert Einstein,birth_year,1,0,1.0,8
25,Martin Luther King Jr.,birth_year,1,0,1.0,8
