id,subject,relation,PSR,RA,LocAcc,max_turns
1,Fall of the Berlin Wall,year,1,0,1.0,12
2,telephone,inventor,1,0,1.0,12
3,Ada Lovelace,birth_year,1,0,1.0,12
4,world wide web,inventor,0,0,1.0,12
5,Apollo 11 Moon landing,year,0,0,1.0,12
6,Samsung,origin_country,1,0,1.0,12
7,Nelson Mandela,birth_year,1,0,1.0,12
8,penicillin,discoverer,1,0,1.0,12
9,Tokyo,country,1,0,1.0,12
10,Paris,country,0,0,1.0,12
11,Signing of the Declaration of Independence (US),year,1,0,1.0,12
12,Ottawa,country,1,0,1.0,12
13,Albert Einstein,birth_year,0,0,1.0,12
14,IKEA,origin_country,1,0,1.0,12
15,Toyota,origin_country,0,0,1.0,12
