id,subject,relation,PSR,RA,LocAcc,max_turns
1,Albert Einstein,birth_year,0,0,1.0,3
2,Paris,country,0,0,1.0,3
3,Tokyo,country,0,0,1.0,3
4,Samsung,origin_country,1,0,1.0,3
5,Fall of the Berlin Wall,year,1,0,1.0,3
6,Ada Lovelace,birth_year,1,0,1.0,3
7,Toyota,origin_country,0,0,1.0,3
8,Apollo 11 Moon landing,year,0,0,1.0,3
9,Ottawa,country,1,0,1.0,3
10,world wide web,inventor,0,0,1.0,3
11,Signing of the Declaration of Independence (US),year,0,0,1.0,3
12,IKEA,origin_country,1,0,1.0,3
13,penicillin,discoverer,0,0,1.0,3
14,Nelson Mandela,birth_year,1,0,1.0,3
15,telephone,inventor,1,0,1.0,3
