id,subject,relation,PSR,RA,LocAcc,max_turns
1,2011 Cannes Film Festival,Location,1,0,0.0,6
2,Shanghai,Sister City,1,0,0.0,6
3,Oak Street Beach,Owner,1,0,0.0,6
4,The Constellations,Formation Location,1,0,0.0,6
5,Michel Poniatowski,Native Language,1,0,0.0,6
6,Princeton University Press,Headquarters,1,0,0.0,6
7,Allegro Non Troppo,Original Language,1,0,0.0,6
8,christian worship,Religion,0,0,0.0,6
9,Interstate 255,Location,1,0,0.0,6
10,Toei Company,Formation Location,1,0,0.0,6
11,Persian Risk,Formation Location,1,0,0.0,6
12,Justin Fleming,Place of Birth,1,0,0.0,6
13,Bob Mason,Position,1,0,0.0,6
14,Hilary Putnam,Occupation,0,0,0.0,6
15,Johannes Schilling,Work Location,1,0,0.0,6
16,Lady Gaga,Instrument,1,0,0.0,6
17,Institut Polaire,Formation Location,1,0,0.0,6
18,Marco Pannella,Work Location,1,0,0.0,6
19,Delta Goodrem,Origin Country,1,0,0.0,6
20,CBS Sports Spectacular,Original Network,1,0,0.0,6
21,Edina High School,Location,1,0,0.0,6
22,Angola,Continent,1,0,0.0,6
23,KKBQ,Location,1,0,0.0,6
24,Thenewno2,Formation Location,1,0,0.0,6
25,Austin Currie,Citizenship,1,0,0.0,6
26,Louis McLane,Place of Death,1,0,0.0,6
27,Sunday Night Baseball,Original Network,1,0,0.0,6
28,Charles Lang Freer House,Location,1,0,0.0,6
29,North Side Gang,Formation Location,1,0,0.0,6
30,Five Star Krishna,Occupation,1,0,0.0,6
31,Bernard Giraudeau,Native Language,1,0,0.0,6
32,Google Patents,Developer,1,0,0.0,6
33,The Bronx Is Burning,Original Network,1,0,0.0,6
34,Sinclair Radionics,Formation Location,1,0,0.0,6
35,Cologne,Sister City,1,0,0.0,6
36,Ludwig Klages,Field of Work,1,0,0.0,6
37,Larry Stabbins,Place of Birth,1,0,0.0,6
38,Dick Radatz,Position,1,0,0.0,6
39,"Elizabeth Boleyn, Countess of Wiltshire",Place of Birth,1,0,0.0,6
40,Nintendo Software Planning & Development,Owner,1,0,0.0,6
41,Jens Evensen,Citizenship,1,0,0.0,6
42,Allan Warren,Languages Spoken,1,0,0.0,6
43,Guillaumes,Country,1,0,0.0,6
44,Lewin Brzeski,Country,1,0,0.0,6
45,Space Sentinels,Original Network,1,0,0.0,6
46,omphacite,Namesake,1,0,0.0,6
47,Mandailing language,Country,1,0,0.0,6
48,Patrick Colquhoun,Place of Death,1,0,0.0,6
49,Tom McCall Waterfront Park,Location,1,0,0.0,6
50,Kazi Nazrul Islam,Citizenship,0,0,0.0,6
