id,subject,relation,PSR,RA,LocAcc,max_turns
1,2011 Cannes Film Festival,Location,1,0,0.0,4
2,Shanghai,Sister City,1,0,0.0,4
3,Oak Street Beach,Owner,1,0,0.0,4
4,The Constellations,Formation Location,1,0,0.0,4
5,Michel Poniatowski,Native Language,1,0,0.0,4
6,Princeton University Press,Headquarters,1,0,0.0,4
7,Allegro Non Troppo,Original Language,1,0,0.0,4
8,christian worship,Religion,0,0,0.0,4
9,Interstate 255,Location,1,0,0.0,4
10,Toei Company,Formation Location,1,0,0.0,4
11,Persian Risk,Formation Location,1,0,0.0,4
12,Justin Fleming,Place of Birth,1,0,0.0,4
13,Bob Mason,Position,1,0,0.0,4
14,Hilary Putnam,Occupation,0,0,0.0,4
15,Johannes Schilling,Work Location,1,0,0.0,4
16,Lady Gaga,Instrument,1,0,0.0,4
17,Institut Polaire,Formation Location,1,0,0.0,4
18,Marco Pannella,Work Location,1,0,0.0,4
19,Delta Goodrem,Origin Country,1,0,0.0,4
20,CBS Sports Spectacular,Original Network,1,0,0.0,4
21,Edina High School,Location,1,0,0.0,4
22,Angola,Continent,1,0,0.0,4
23,KKBQ,Location,1,0,0.0,4
24,Thenewno2,Formation Location,1,0,0.0,4
25,Austin Currie,Citizenship,1,0,0.0,4
26,Louis McLane,Place of Death,1,0,0.0,4
27,Sunday Night Baseball,Original Network,1,0,0.0,4
28,Charles Lang Freer House,Location,1,0,0.0,4
29,North Side Gang,Formation Location,1,0,0.0,4
30,Five Star Krishna,Occupation,1,0,0.0,4
31,Bernard Giraudeau,Native Language,0,0,0.0,4
32,Google Patents,Developer,1,0,0.0,4
33,The Bronx Is Burning,Original Network,1,0,0.0,4
34,Sinclair Radionics,Formation Location,1,0,0.0,4
35,Cologne,Sister City,1,0,0.0,4
36,Ludwig Klages,Field of Work,1,0,0.0,4
37,Larry Stabbins,Place of Birth,1,0,0.0,4
38,Dick Radatz,Position,0,0,0.0,4
39,"Elizabeth Boleyn, Countess of Wiltshire",Place of Birth,1,0,0.0,4
40,Nintendo Software Planning & Development,Owner,0,0,0.0,4
41,Jens Evensen,Citizenship,1,0,0.0,4
42,Allan Warren,Languages Spoken,1,0,0.0,4
43,Guillaumes,Country,1,0,0.0,4
44,Lewin Brzeski,Country,0,0,0.0,4
45,Space Sentinels,Original Network,1,0,0.0,4
46,omphacite,Namesake,1,0,0.0,4
47,Mandailing language,Country,1,0,0.0,4
48,Patrick Colquhoun,Place of Death,1,0,0.0,4
49,Tom McCall Waterfront Park,Location,1,0,0.0,4
50,Kazi Nazrul Islam,Citizenship,1,0,0.0,4
