id,subject,relation,PSR,RA,LocAcc,max_turns
1,2011 Cannes Film Festival,Location,1,0,0.0,2
2,Shanghai,Sister City,1,0,0.0,2
3,Oak Street Beach,Owner,1,0,0.0,2
4,The Constellations,Formation Location,1,0,0.0,2
5,Michel Poniatowski,Native Language,1,0,0.0,2
6,Princeton University Press,Headquarters,1,0,0.0,2
7,Allegro Non Troppo,Original Language,1,0,0.0,2
8,christian worship,Religion,0,0,0.0,2
9,Interstate 255,Location,0,0,0.0,2
10,Toei Company,Formation Location,0,0,0.0,2
11,Persian Risk,Formation Location,1,0,0.0,2
12,Justin Fleming,Place of Birth,1,0,0.0,2
13,Bob Mason,Position,1,0,0.0,2
14,Hilary Putnam,Occupation,0,0,0.0,2
15,Johannes Schilling,Work Location,1,0,0.0,2
16,Lady Gaga,Instrument,1,0,0.0,2
17,Institut Polaire,Formation Location,1,0,0.0,2
18,Marco Pannella,Work Location,0,0,0.0,2
19,Delta Goodrem,Origin Country,0,0,0.0,2
20,CBS Sports Spectacular,Original Network,0,0,0.0,2
21,Edina High School,Location,1,0,0.0,2
22,Angola,Continent,0,0,0.0,2
23,KKBQ,Location,1,0,0.0,2
24,Thenewno2,Formation Location,1,0,0.0,2
25,Austin Currie,Citizenship,1,0,0.0,2
26,Louis McLane,Place of Death,1,0,0.0,2
27,Sunday Night Baseball,Original Network,1,0,0.0,2
28,Charles Lang Freer House,Location,1,0,0.0,2
29,North Side Gang,Formation Location,1,0,0.0,2
30,Five Star Krishna,Occupation,1,0,0.0,2
31,Bernard Giraudeau,Native Language,1,0,0.0,2
32,Google Patents,Developer,1,0,0.0,2
33,The Bronx Is Burning,Original Network,0,0,0.0,2
34,Sinclair Radionics,Formation Location,1,0,0.0,2
35,Cologne,Sister City,1,0,0.0,2
36,Ludwig Klages,Field of Work,1,0,0.0,2
37,Larry Stabbins,Place of Birth,1,0,0.0,2
38,Dick Radatz,Position,0,0,0.0,2
39,"Elizabeth Boleyn, Countess of Wiltshire",Place of Birth,1,0,0.0,2
40,Nintendo Software Planning & Development,Owner,0,0,0.0,2
41,Jens Evensen,Citizenship,0,0,0.0,2
42,Allan Warren,Languages Spoken,1,0,0.0,2
43,Guillaumes,Country,1,0,0.0,2
44,Lewin Brzeski,Country,0,0,0.0,2
45,Space Sentinels,Original Network,1,0,0.0,2
46,omphacite,Namesake,1,0,0.0,2
47,Mandailing language,Country,1,0,0.0,2
48,Patrick Colquhoun,Place of Death,1,0,0.0,2
49,Tom McCall Waterfront Park,Location,0,0,0.0,2
50,Kazi Nazrul Islam,Citizenship,0,0,0.0,2
