id,subject,relation,PSR,RA,LocAcc,max_turns
1,2011 Cannes Film Festival,Location,1,0,0.0,7
2,Shanghai,Sister City,1,0,0.0,7
3,Oak Street Beach,Owner,1,0,0.0,7
4,The Constellations,Formation Location,1,0,0.0,7
5,Michel Poniatowski,Native Language,0,0,0.0,7
6,Princeton University Press,Headquarters,1,0,0.0,7
7,Allegro Non Troppo,Original Language,1,0,0.0,7
8,christian worship,Religion,0,0,0.0,7
9,Interstate 255,Location,1,0,0.0,7
10,Toei Company,Formation Location,1,0,0.0,7
11,Persian Risk,Formation Location,1,0,0.0,7
12,Justin Fleming,Place of Birth,1,0,0.0,7
13,Bob Mason,Position,1,0,0.0,7
14,Hilary Putnam,Occupation,0,0,0.0,7
15,Johannes Schilling,Work Location,1,0,0.0,7
16,Lady Gaga,Instrument,1,0,0.0,7
17,Institut Polaire,Formation Location,1,0,0.0,7
18,Marco Pannella,Work Location,1,0,0.0,7
19,Delta Goodrem,Origin Country,0,0,0.0,7
20,CBS Sports Spectacular,Original Network,1,0,0.0,7
21,Edina High School,Location,1,0,0.0,7
22,Angola,Continent,1,0,0.0,7
23,KKBQ,Location,1,0,0.0,7
24,Thenewno2,Formation Location,1,0,0.0,7
25,Austin Currie,Citizenship,1,0,0.0,7
26,Louis McLane,Place of Death,1,0,0.0,7
27,Sunday Night Baseball,Original Network,1,0,0.0,7
28,Charles Lang Freer House,Location,1,0,0.0,7
29,North Side Gang,Formation Location,1,0,0.0,7
30,Five Star Krishna,Occupation,1,0,0.0,7
31,Bernard Giraudeau,Native Language,1,0,0.0,7
32,Google Patents,Developer,1,0,0.0,7
33,The Bronx Is Burning,Original Network,0,0,0.0,7
34,Sinclair Radionics,Formation Location,1,0,0.0,7
35,Cologne,Sister City,1,0,0.0,7
36,Ludwig Klages,Field of Work,1,0,0.0,7
37,Larry Stabbins,Place of Birth,1,0,0.0,7
38,Dick Radatz,Position,1,0,0.0,7
39,"Elizabeth Boleyn, Countess of Wiltshire",Place of Birth,1,0,0.0,7
40,Nintendo Software Planning & Development,Owner,0,0,0.0,7
41,Jens Evensen,Citizenship,1,0,0.0,7
42,Allan Warren,Languages Spoken,1,0,0.0,7
43,Guillaumes,Country,1,0,0.0,7
44,Lewin Brzeski,Country,1,0,0.0,7
45,Space Sentinels,Original Network,1,0,0.0,7
46,omphacite,Namesake,1,0,0.0,7
47,Mandailing language,Country,1,0,0.0,7
48,Patrick Colquhoun,Place of Death,1,0,0.0,7
49,Tom McCall Waterfront Park,Location,1,0,0.0,7
50,Kazi Nazrul Islam,Citizenship,1,0,0.0,7
