id,subject,relation,PSR,RA,LocAcc,max_turns
1,2011 Cannes Film Festival,Location,1,0,0.0,8
2,Shanghai,Sister City,1,0,0.0,8
3,Oak Street Beach,Owner,0,0,0.0,8
4,The Constellations,Formation Location,1,0,0.0,8
5,Michel Poniatowski,Native Language,1,0,0.0,8
6,Princeton University Press,Headquarters,1,0,0.0,8
7,Allegro Non Troppo,Original Language,1,0,0.0,8
8,christian worship,Religion,0,0,0.0,8
9,Interstate 255,Location,1,0,0.0,8
10,Toei Company,Formation Location,1,0,0.0,8
11,Persian Risk,Formation Location,1,0,0.0,8
12,Justin Fleming,Place of Birth,1,0,0.0,8
13,Bob Mason,Position,1,0,0.0,8
14,Hilary Putnam,Occupation,0,0,0.0,8
15,Johannes Schilling,Work Location,1,0,0.0,8
16,Lady Gaga,Instrument,1,0,0.0,8
17,Institut Polaire,Formation Location,1,0,0.0,8
18,Marco Pannella,Work Location,1,0,0.0,8
19,Delta Goodrem,Origin Country,1,0,0.0,8
20,CBS Sports Spectacular,Original Network,1,0,0.0,8
21,Edina High School,Location,1,0,0.0,8
22,Angola,Continent,0,0,0.0,8
23,KKBQ,Location,1,0,0.0,8
24,Thenewno2,Formation Location,1,0,0.0,8
25,Austin Currie,Citizenship,1,0,0.0,8
26,Louis McLane,Place of Death,1,0,0.0,8
27,Sunday Night Baseball,Original Network,1,0,0.0,8
28,Charles Lang Freer House,Location,1,0,0.0,8
29,North Side Gang,Formation Location,1,0,0.0,8
30,Five Star Krishna,Occupation,1,0,0.0,8
31,Bernard Giraudeau,Native Language,1,0,0.0,8
32,Google Patents,Developer,1,0,0.0,8
33,The Bronx Is Burning,Original Network,0,0,0.0,8
34,Sinclair Radionics,Formation Location,1,0,0.0,8
35,Cologne,Sister City,1,0,0.0,8
36,Ludwig Klages,Field of Work,1,0,0.0,8
37,Larry Stabbins,Place of Birth,1,0,0.0,8
38,Dick Radatz,Position,1,0,0.0,8
39,"Elizabeth Boleyn, Countess of Wiltshire",Place of Birth,1,0,0.0,8
40,Nintendo Software Planning & Development,Owner,1,0,0.0,8
41,Jens Evensen,Citizenship,1,0,0.0,8
42,Allan Warren,Languages Spoken,1,0,0.0,8
43,Guillaumes,Country,1,0,0.0,8
44,Lewin Brzeski,Country,1,0,0.0,8
45,Space Sentinels,Original Network,1,0,0.0,8
46,omphacite,Namesake,1,0,0.0,8
47,Mandailing language,Country,1,0,0.0,8
48,Patrick Colquhoun,Place of Death,1,0,0.0,8
49,Tom McCall Waterfront Park,Location,1,0,0.0,8
50,Kazi Nazrul Islam,Citizenship,1,0,0.0,8
