id,subject,relation,PSR,RA,LocAcc,max_turns
1,Signing of the Declaration of Independence (US),year,0,0,1.0,4
2,Ottawa,country,1,0,1.0,4
3,telephone,inventor,0,0,1.0,4
4,Albert Einstein,birth_year,0,0,1.0,4
5,Apollo 11 Moon landing,year,0,0,1.0,4
6,Tokyo,country,0,0,1.0,4
7,Ada Lovelace,birth_year,1,0,1.0,4
8,Nelson Mandela,birth_year,1,0,1.0,4
9,Fall of the Berlin Wall,year,1,0,1.0,4
10,IKEA,origin_country,0,0,1.0,4
11,penicillin,discoverer,0,0,1.0,4
12,Paris,country,1,0,1.0,4
13,Samsung,origin_country,1,0,1.0,4
14,Toyota,origin_country,0,0,1.0,4
15,world wide web,inventor,0,0,1.0,4
