id,subject,relation,PSR,RA,LocAcc,max_turns
1,Signing of the Declaration of Independence (US),year,1,0,1.0,6
2,Ottawa,country,0,0,1.0,6
3,telephone,inventor,1,0,1.0,6
4,Albert Einstein,birth_year,1,0,1.0,6
5,Apollo 11 Moon landing,year,0,0,1.0,6
6,Tokyo,country,1,0,1.0,6
7,Ada Lovelace,birth_year,1,0,1.0,6
8,Nelson Mandela,birth_year,1,0,1.0,6
9,Fall of the Berlin Wall,year,1,0,1.0,6
10,IKEA,origin_country,1,0,1.0,6
11,penicillin,discoverer,1,0,1.0,6
12,Paris,country,1,0,1.0,6
13,Samsung,origin_country,1,0,1.0,6
14,Toyota,origin_country,1,0,1.0,6
15,world wide web,inventor,1,0,1.0,6
