id,subject,relation,PSR,RA,LocAcc,max_turns
1,Fall of the Berlin Wall,year,1,0,1.0,9
2,telephone,inventor,1,0,1.0,9
3,Ada Lovelace,birth_year,1,0,1.0,9
4,world wide web,inventor,0,0,1.0,9
5,Apollo 11 Moon landing,year,0,0,1.0,9
6,Samsung,origin_country,1,0,1.0,9
7,Nelson Mandela,birth_year,1,0,1.0,9
8,penicillin,discoverer,0,0,1.0,9
9,Tokyo,country,0,0,1.0,9
10,Paris,country,0,0,1.0,9
11,Signing of the Declaration of Independence (US),year,0,0,1.0,9
12,Ottawa,country,0,0,1.0,9
13,Albert Einstein,birth_year,0,0,1.0,9
14,IKEA,origin_country,1,0,1.0,9
15,Toyota,origin_country,0,0,1.0,9
