id,subject,relation,PSR,RA,LocAcc,max_turns
1,Ottawa,country,1,0,1.0,12
2,Toyota,origin_country,0,0,1.0,12
3,Tokyo,country,0,0,1.0,12
4,Paris,country,1,0,1.0,12
5,Albert Einstein,birth_year,1,0,1.0,12
6,Nelson Mandela,birth_year,1,0,1.0,12
7,Signing of the Declaration of Independence (US),year,1,0,1.0,12
8,world wide web,inventor,0,0,1.0,12
9,telephone,inventor,1,0,1.0,12
10,Ada Lovelace,birth_year,1,0,1.0,12
11,Samsung,origin_country,1,0,1.0,12
12,IKEA,origin_country,1,0,1.0,12
13,penicillin,discoverer,0,0,1.0,12
14,Apollo 11 Moon landing,year,0,0,1.0,12
15,Fall of the Berlin Wall,year,1,0,1.0,12
