mode,defense,shuffle,N_total,PSR_mean,PSR_lo,PSR_hi,RA_mean,RA_lo,RA_hi,Loc_mean,Loc_lo,Loc_hi
order,none,0,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,none,1,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,none,2,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,none,3,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,none,4,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,none,5,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,none,6,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,none,7,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,none,8,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,none,9,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,none,10,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,none,11,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,none,12,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,none,13,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,none,14,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,none,15,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,none,16,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,none,17,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,none,18,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,none,19,22,0.5454545454545454,0.34659473289041554,0.7307998556799515,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
