mode,defense,max_turns,N_total,PSR_mean,PSR_lo,PSR_hi,RA_mean,RA_lo,RA_hi,Loc_mean,Loc_lo,Loc_hi
turns,none,1,45,0.6222222222222222,0.4762967000646754,0.7489211470165014,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,2,45,0.6444444444444445,0.49835546011952203,0.7678110864309596,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,3,45,0.7777777777777778,0.637304262026367,0.8745544813399436,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,4,45,0.8444444444444444,0.712158094887512,0.9225467468867133,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,5,45,0.8888888888888888,0.7650062450910905,0.9515959956217445,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,6,45,0.8666666666666667,0.738224177587027,0.9374293636565033,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,7,45,0.9111111111111111,0.792661488316343,0.9648894518657969,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,8,45,0.9555555555555556,0.8517222081611939,0.9877261309595557,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,9,45,0.9333333333333333,0.8214312561135918,0.977068383537853,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,10,45,0.9333333333333333,0.8214312561135918,0.977068383537853,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,11,45,0.9555555555555556,0.8517222081611939,0.9877261309595557,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,12,45,0.8888888888888888,0.7650062450910905,0.9515959956217445,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,13,45,0.9555555555555556,0.8517222081611939,0.9877261309595557,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
