mode,defense,max_turns,N_total,PSR_mean,PSR_lo,PSR_hi,RA_mean,RA_lo,RA_hi,Loc_mean,Loc_lo,Loc_hi
turns,override,1,45,0.044444444444444446,0.012273869040444335,0.14827779183880616,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,2,45,0.15555555555555556,0.07745325311328675,0.28784190511248803,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,3,45,0.28888888888888886,0.1772991803190016,0.43368817472260224,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,4,45,0.4444444444444444,0.30938708549039107,0.5882411658363468,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,5,45,0.35555555555555557,0.23218891356904048,0.5016445398804781,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,6,45,0.4222222222222222,0.28968487981687807,0.566994672040555,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,7,45,0.5777777777777777,0.433005327959445,0.7103151201831219,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,8,45,0.37777777777777777,0.25107885298349863,0.5237032999353246,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,9,45,0.4444444444444444,0.30938708549039107,0.5882411658363468,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,10,45,0.5777777777777777,0.433005327959445,0.7103151201831219,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,11,45,0.5777777777777777,0.433005327959445,0.7103151201831219,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,12,45,0.6666666666666666,0.520702168092554,0.7864130779272324,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,13,45,0.5555555555555556,0.4117588341636533,0.6906129145096089,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
